"1"	"1577,93"
"3"	"734,1158,57,585,1338,229,624,596,58,465,876,1286,764,1349,583,278,785,1132,580,1902,664,1296,1058,1250,885,433,281"
"4"	"244,753"
"6"	"21,103"
"9"	"1010,315,317"
"10"	"562,563,565,564"
"11"	"44,595,872"
"12"	"357,555,1895"
"13"	"1269,135"
"14"	"384,1309,1299,1308,750"
"15"	"642,1309,419,1271,552,1270,1232,551,1233"
"16"	"1066,1306"
"18"	"645,646"
"19"	"941,1248,1337,1249"
"21"	"1771,253,1267,304"
"22"	"1196,379"
"23"	"1777,379"
"24"	"1952,472,1438"
"29"	"1115,236,1767,181,657"
"30"	"1899,1900"
"31"	"503,949"
"32"	"937,434"
"33"	"1192,1409"
"36"	"781,1234,782,783,857,741,858"
"37"	"529,111"
"39"	"504,889,1121,1122,1252"
"40"	"1539,377"
"43"	"1669,1400,1442"
"44"	"1102,402"
"46"	"407,1178"
"47"	"1031,639,38,1522,1960,1860,39,1586"
"48"	"455,1007,590,1351"
"49"	"38,455,1351,1136,39"
"50"	"997,1012,1013,173"
"51"	"1345,688"
"53"	"1317,1318"
"59"	"1694,93"
"60"	"401,684,806,719"
"62"	"226,953"
"63"	"507,893,975,1828,618,1527,738,1332"
"64"	"893,975,1527"
"65"	"507,722,1828,618,738,1332"
"68"	"605,95,626,544"
"70"	"1402,1833,547,1631"
"72"	"180,1459"
"74"	"403,497,1563"
"75"	"869,1184"
"76"	"1338,624,596,876"
"77"	"1338,624,596,876,785,1250,281"
"78"	"1338,624,596,785"
"79"	"844,1247"
"80"	"1237,1848"
"81"	"89,1897,1413,141,1896"
"82"	"1367,528,1635"
"84"	"998,1526"
"85"	"11,9"
"86"	"240,476,489,1830,279,1022"
"87"	"1720,109,405,61,10,321,436"
"89"	"1867,1866"
"92"	"1906,1066,274,1305,895,1562,1840,1306,896"
"93"	"645,646"
"94"	"1906,1871,1186,1515,196,411,1872,895,1562,896"
"96"	"952,546"
"97"	"834,53,54"
"98"	"1955,1956"
"99"	"1701,630,577,538,631"
"100"	"630,631"
"101"	"1119,1120"
"102"	"418,1700"
"106"	"1116,1573,1117,1399,714"
"107"	"1573,1429"
"109"	"1327,1326,648"
"110"	"51,1646,504,76,1086,889,675,345,1252,747,1193,1610,676"
"112"	"1222,276"
"113"	"1192,1720,865,683,277,1409,812"
"115"	"757,571"
"116"	"855,405,321,62"
"117"	"835,169,1841,1558"
"118"	"458,1701,834,630,297,952,1489,1756,1042,503,1066,1300,1513,1311,835,1626,274,169,1305,711,1899,466,474,746,721,53,1712,546,255,1841,467,949,559,577,418,1119,1700,1901,494,538,1359,1678,1556,1074,591,631,566,550,1561,520,303,1558,1785,1120,54,1900,1555,1840,1261,1306,662,1676"
"119"	"466,746,467,678"
"120"	"1497,505,26,1658,463,1567,1633,506"
"121"	"1497,26"
"122"	"430,431"
"123"	"1668,902,55,903,1008,65"
"125"	"1032,425,173,372,837"
"126"	"2,1683,1684"
"127"	"1683,1684"
"128"	"1738,1428,905,758"
"130"	"917,921,1662,351"
"131"	"596,1396,1274"
"132"	"453,1936,362,282,1364,283"
"133"	"282,283"
"134"	"453,1720,133,8,109,1936,596,926,140,865,476,139,11,1919,9,1396,362,211,61,176,1883,282,1033,10,217,291,489,1274,436,212,1364,872,1693,1185,340,283"
"135"	"476,61,489,436"
"141"	"1128,866,867,765,1215,1292"
"142"	"1932,1282,754,716,1077,1426,1065,1724,589,717"
"143"	"722,723,738"
"145"	"1866,387"
"146"	"709,707,708"
"147"	"219,221,1290,1518"
"149"	"960,961,303"
"151"	"534,1107,543,1766"
